"Местное время в Иркутске (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:00";"-15.2";"725.5";"774.9";"";"85";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"50%.";"1000-1500";"";"";"2.3";"-17.2";"";"";"";"";"";"";
"31.12.2017 11:00";"-19.4";"724.0";"774.1";"";"78";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1000-1500";"";"";"10.0";"-22.3";"";"";"";"";"";"";
"31.12.2017 05:00";"-21.3";"722.7";"773.1";"";"79";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"";"";"10.0";"-24.0";"";"";"";"";"";"";
"30.12.2017 23:00";"-19.3";"723.6";"773.7";"";"84";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-21.3";"";"";"";"";"";"";
"30.12.2017 20:00";"-19.7";"723.8";"774.0";"";"86";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"-12.6";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-21.5";"";"";"";"";"";"";
"30.12.2017 17:00";"-14.6";"723.9";"773.0";"";"69";"Ветер, дующий с западо-северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"2.8";"-19.1";"";"";"";"";"";"";
"30.12.2017 14:00";"-16.2";"724.1";"773.6";"";"79";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-19.1";"";"";"";"";"";"";
"30.12.2017 11:00";"-21.2";"725.5";"776.2";"";"81";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-23.6";"";"";"";"";"";"";
"30.12.2017 08:00";"-20.7";"726.1";"776.7";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-20.8";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-22.7";"";"";"";"";"";"";
"30.12.2017 05:00";"-15.0";"727.0";"776.5";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-17.8";"";"";"";"";"";"";
"29.12.2017 23:00";"-11.2";"728.8";"777.7";"";"68";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.0";"";"";"";"";"";"";
"29.12.2017 17:00";"-9.2";"729.0";"777.5";"";"74";"Ветер, дующий с северо-запада";"11";"";"";"100%.";" ";"";"";"";"";"";"60%.";"1500-2000";"";"";"10.0";"-13.1";"";"";"";"";"";"";
"29.12.2017 14:00";"-9.0";"728.2";"776.5";"";"80";"Ветер, дующий с северо-запада";"13";"17";"";"100%.";" ";"";"";"";"";"";"100%.";"1000-1500";"";"";"1.8";"-11.9";"";"";"";"";"";"";
"29.12.2017 11:00";"-8.9";"727.6";"775.9";"";"83";"Ветер, дующий с северо-запада";"13";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"1.0";"-11.3";"";"";"";"";"";"";
"29.12.2017 08:00";"-8.5";"726.3";"774.4";"";"84";"Ветер, дующий с западо-северо-запада";"12";"16";"";"100%.";" ";"";"";"-8.5";"";"";"100%.";"300-600";"";"";"1.0";"-10.7";"";"";"";"";"";"";
"29.12.2017 05:00";"-7.7";"724.6";"772.6";"";"84";"Ветер, дующий с западо-северо-запада";"11";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"2.0";"-10.0";"";"";"";"";"";"";
"29.12.2017 02:00";"-6.8";"723.6";"771.3";"";"78";"Ветер, дующий с западо-северо-запада";"11";"15";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"4.0";"-10.0";"";"";"";"";"";"";
"28.12.2017 23:00";"-5.8";"722.5";"769.9";"";"87";"Ветер, дующий с западо-северо-запада";"12";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"1.8";"-7.7";"";"";"";"";"";"";
"28.12.2017 20:00";"-7.6";"721.9";"769.6";"";"87";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";" ";"";"";"";"-6.5";"";"90  или более, но не 100%";"300-600";"";"";"2.6";"-9.4";"";"";"";"";"";"";
"28.12.2017 17:00";"-7.9";"720.2";"767.8";"";"88";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"";"";"100%.";"1000-1500";"";"";"1.5";"-9.6";"";"";"";"";"";"";
"28.12.2017 14:00";"-6.9";"717.9";"765.2";"";"89";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"10.0";"-8.5";"";"";"";"";"";"";
"28.12.2017 11:00";"-9.9";"717.6";"765.4";"";"87";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-11.7";"";"";"";"";"";"";
"28.12.2017 08:00";"-11.4";"717.9";"766.0";"";"85";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"-15.4";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-13.4";"";"";"";"";"";"";
"28.12.2017 05:00";"-14.9";"717.8";"766.6";"";"86";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.7";"";"";"";"";"";"";
"28.12.2017 02:00";"-14.4";"719.5";"768.4";"";"85";"Ветер, дующий с востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.4";"";"";"";"";"";"";
"27.12.2017 23:00";"-8.8";"719.8";"767.5";"";"84";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-11.1";"";"";"";"";"";"";
"27.12.2017 20:00";"-7.3";"718.9";"766.4";"";"83";"Ветер, дующий с юго-юго-востока";"5";"";"";"100%.";" ";"";"";"";"-6.1";"";"20–30%.";"1500-2000";"";"";"10.0";"-9.8";"";"";"";"";"";"";
"27.12.2017 17:00";"-6.4";"719.2";"766.5";"";"81";"Ветер, дующий с юго-юго-востока";"6";"";"";"100%.";" ";"";"";"";"";"";"60%.";"300-600";"";"";"10.0";"-9.2";"";"";"";"";"";"";
"27.12.2017 14:00";"-6.6";"719.1";"766.4";"";"78";"Ветер, дующий с юго-юго-востока";"6";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"600-1000";"";"";"10.0";"-9.9";"";"";"";"";"";"";
"27.12.2017 11:00";"-8.7";"719.3";"767.1";"";"75";"Ветер, дующий с юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"10.0";"-12.4";"";"";"";"";"";"";
"27.12.2017 08:00";"-10.3";"717.1";"765.1";"";"73";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"-13.8";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-14.2";"";"";"";"";"";"";
"27.12.2017 05:00";"-11.9";"715.9";"764.0";"";"74";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.6";"";"";"";"";"";"";
"27.12.2017 02:00";"-12.2";"715.4";"763.6";"";"75";"Ветер, дующий с востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.8";"";"";"";"";"";"";
"26.12.2017 23:00";"-12.9";"714.8";"763.0";"";"77";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.2";"";"";"";"";"";"";
"26.12.2017 20:00";"-12.2";"714.4";"762.5";"";"74";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"-8.4";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.0";"";"";"";"";"";"";
"26.12.2017 17:00";"-11.7";"713.4";"761.3";"";"76";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.2";"";"";"";"";"";"";
"26.12.2017 14:00";"-9.8";"713.2";"760.7";"";"71";"Ветер, дующий с востоко-юго-востока";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-14.1";"";"";"";"";"";"";
"26.12.2017 11:00";"-13.5";"715.2";"763.6";"";"82";"Ветер, дующий с востоко-юго-востока";"4";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.9";"";"";"";"";"";"";
"26.12.2017 08:00";"-14.3";"716.3";"764.9";"";"85";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"-23.4";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.3";"";"";"";"";"";"";
"26.12.2017 05:00";"-16.9";"717.9";"767.1";"";"88";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-18.5";"";"";"";"";"";"";
"26.12.2017 02:00";"-22.4";"719.9";"770.4";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-24.9";"";"";"";"";"";"";
"25.12.2017 23:00";"-21.1";"721.8";"772.1";"";"82";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-23.4";"";"";"";"";"";"";
"25.12.2017 20:00";"-20.7";"723.2";"773.5";"";"83";"Ветер, дующий с востоко-северо-востока";"3";"";"";"100%.";" ";"";"";"";"-15.2";"";"";"2500 или более, или облаков нет.";"";"";"4.3";"-22.9";"";"";"";"";"";"";
"25.12.2017 17:00";"-18.3";"723.8";"773.7";"";"83";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"10.0";"-20.5";"";"";"";"";"";"";
"25.12.2017 14:00";"-15.2";"724.2";"773.5";"";"85";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-17.2";"";"";"";"";"";"";
"25.12.2017 11:00";"-16.1";"724.6";"774.1";"";"85";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"4.0";"-18.0";"";"";"";"";"";"";
"25.12.2017 08:00";"-16.3";"724.2";"773.7";"";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"-17.2";"";"";"50%.";"600-1000";"";"";"10.0";"-18.2";"";"";"";"";"";"";
"25.12.2017 05:00";"-16.1";"724.0";"773.5";"";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"1500-2000";"";"";"10.0";"-18.0";"";"";"";"";"";"";
"25.12.2017 02:00";"-15.8";"724.1";"773.5";"";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"2.9";"-17.6";"";"";"";"";"";"";
"24.12.2017 23:00";"-15.3";"724.0";"773.3";"";"86";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"2.1";"-17.1";"";"";"";"";"";"";
"24.12.2017 20:00";"-14.8";"724.3";"773.5";"";"87";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"-11.6";"";"60%.";"600-1000";"";"";"1.7";"-16.5";"";"";"";"";"";"";
"24.12.2017 17:00";"-12.2";"724.0";"772.8";"";"88";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"60%.";"600-1000";"";"";"4.0";"-13.8";"";"";"";"";"";"";
"24.12.2017 14:00";"-14.4";"723.9";"772.9";"";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"4.0";"-16.2";"";"";"";"";"";"";
"24.12.2017 11:00";"-17.8";"724.0";"773.8";"";"84";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-19.9";"";"";"";"";"";"";
"24.12.2017 08:00";"-19.4";"723.9";"774.0";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-20.2";"";"";"50%.";"600-1000";"";"";"10.0";"-21.6";"";"";"";"";"";"";
"24.12.2017 05:00";"-18.4";"724.1";"774.1";"";"84";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"40%.";"50-100";"";"";"10.0";"-20.5";"";"";"";"";"";"";
"24.12.2017 02:00";"-16.3";"725.1";"774.7";"";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1500-2000";"";"";"4.0";"-18.2";"";"";"";"";"";"";
"23.12.2017 23:00";"-14.0";"726.0";"775.1";"";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"50%.";"1500-2000";"";"";"4.2";"-15.6";"";"";"";"";"";"";
"23.12.2017 20:00";"-13.0";"726.5";"775.5";"";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"-11.2";"";"50%.";"1500-2000";"";"";"2.0";"-14.6";"";"";"";"";"";"";
"23.12.2017 17:00";"-11.4";"726.2";"775.0";"";"89";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1500-2000";"";"";"4.0";"-12.9";"";"";"";"";"";"";
"23.12.2017 14:00";"-14.0";"725.6";"774.7";"";"86";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1500-2000";"";"";"2.0";"-15.8";"";"";"";"";"";"";
"23.12.2017 11:00";"-16.7";"725.3";"775.0";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"300-600";"";"";"2.2";"-18.7";"";"";"";"";"";"";
"23.12.2017 08:00";"-17.1";"724.1";"773.8";"";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"-17.8";"";"";"60%.";"600-1000";"";"";"2.0";"-19.1";"";"";"";"";"";"";
"23.12.2017 05:00";"-17.2";"723.4";"773.0";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"50%.";"1000-1500";"";"";"1.9";"-19.2";"";"";"";"";"";"";
"23.12.2017 02:00";"-16.9";"723.1";"772.6";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"50%.";"600-1000";"";"";"2.1";"-18.8";"";"";"";"";"";"";
"22.12.2017 23:00";"-16.5";"722.8";"772.3";"";"85";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1000-1500";"";"";"2.1";"-18.4";"";"";"";"";"";"";
"22.12.2017 17:00";"-15.3";"721.9";"771.1";"";"86";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"2.1";"-17.2";"";"";"";"";"";"";
"22.12.2017 14:00";"-16.4";"722.1";"771.4";"";"84";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-18.5";"";"";"";"";"";"";
"22.12.2017 11:00";"-20.8";"722.8";"773.1";"";"81";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"200-300";"";"";"3.4";"-23.2";"";"";"";"";"";"";
"22.12.2017 08:00";"-20.0";"722.1";"772.2";"";"82";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"-21.1";"";"";"";"2500 или более, или облаков нет.";"";"";"3.8";"-22.3";"";"";"";"";"";"";
"22.12.2017 05:00";"-18.7";"720.7";"770.4";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"2.5";"-20.8";"";"";"";"";"";"";
"22.12.2017 02:00";"-19.5";"720.4";"770.2";"";"83";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-21.7";"";"";"";"";"";"";
"21.12.2017 23:00";"-19.3";"720.7";"770.6";"";"83";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-21.5";"";"";"";"";"";"";
"21.12.2017 20:00";"-16.5";"721.7";"771.1";"";"86";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"";"-15.2";"";"";"2500 или более, или облаков нет.";"";"";"2.0";"-18.3";"";"";"";"";"";"";
"21.12.2017 17:00";"-15.6";"721.6";"770.8";"";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"1.7";"-17.4";"";"";"";"";"";"";
"21.12.2017 14:00";"-16.8";"721.3";"770.8";"";"84";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-18.9";"";"";"";"";"";"";
"21.12.2017 11:00";"-21.8";"721.3";"771.7";"";"80";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-24.4";"";"";"";"";"";"";
"21.12.2017 08:00";"-23.3";"720.9";"771.6";"";"80";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"-24.5";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-25.8";"";"";"";"";"";"";
"21.12.2017 05:00";"-22.8";"720.7";"771.3";"";"80";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-25.3";"";"";"";"";"";"";
"21.12.2017 02:00";"-20.8";"720.8";"771.0";"";"82";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-23.1";"";"";"";"";"";"";
"20.12.2017 23:00";"-19.4";"721.4";"771.4";"";"83";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-21.6";"";"";"";"";"";"";
"20.12.2017 20:00";"-15.4";"721.6";"770.7";"";"87";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.1";"-17.1";"";"";"";"";"";"";
"20.12.2017 17:00";"-11.4";"721.4";"769.8";"";"85";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"1.5";"-13.4";"";"";"";"";"";"";
"20.12.2017 14:00";"-13.4";"721.8";"770.6";"";"86";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.2";"";"";"";"";"";"";
"20.12.2017 11:00";"-16.3";"722.8";"772.3";"";"85";"Ветер, дующий с востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-18.2";"";"";"";"";"";"";
"20.12.2017 08:00";"-17.2";"723.8";"773.5";"";"85";"Ветер, дующий с востока";"3";"";"";"40%.";" ";"";"";"-17.8";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-19.1";"";"";"";"";"";"";
"20.12.2017 05:00";"-13.6";"724.5";"773.5";"";"89";"Ветер, дующий с востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.1";"";"";"";"";"";"";
"19.12.2017 23:00";"-6.1";"726.3";"774.0";"";"70";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-10.8";"";"";"";"";"";"";
"19.12.2017 17:00";"-1.3";"726.3";"773.1";"";"76";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-5.0";"";"";"";"";"";"";
"19.12.2017 14:00";"-2.1";"726.1";"773.1";"";"80";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1500-2000";"";"";"10.0";"-5.2";"";"";"";"";"";"";
"19.12.2017 11:00";"-2.4";"727.3";"774.4";"";"94";"Ветер, дующий с северо-запада";"8";"";"";"100%.";" ";"";"";"";"";"";"100%.";"200-300";"";"";"1.0";"-3.3";"";"";"";"";"";"";
"19.12.2017 08:00";"-2.7";"726.5";"773.6";"";"93";"Ветер, дующий с северо-запада";"7";"10";"";"100%.";" ";"";"";"-5.5";"";"";"100%.";"200-300";"";"";"2.9";"-3.7";"";"";"";"";"";"";
"19.12.2017 05:00";"-2.6";"726.5";"773.5";"";"93";"Ветер, дующий с запада";"5";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"4.0";"-3.6";"";"";"";"";"";"";
"19.12.2017 02:00";"-3.9";"727.3";"774.7";"";"96";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"300-600";"";"";"2.0";"-4.5";"";"";"";"";"";"";
"18.12.2017 23:00";"-4.6";"727.9";"775.4";"";"91";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"60%.";"1500-2000";"";"";"10.0";"-5.9";"";"";"";"";"";"";
"18.12.2017 20:00";"-5.5";"727.9";"775.6";"";"93";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"-5.1";"";"100%.";"600-1000";"";"";"1.7";"-6.4";"";"";"";"";"";"";
"18.12.2017 17:00";"-7.5";"727.4";"775.5";"";"92";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"4.0";"-8.6";"";"";"";"";"";"";
"18.12.2017 14:00";"-8.9";"728.0";"776.4";"";"87";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"";"100%.";"1000-1500";"";"";"4.0";"-10.7";"";"";"";"";"";"";
"18.12.2017 11:00";"-10.8";"729.4";"778.3";"";"90";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1500-2000";"";"";"10.0";"-12.2";"";"";"";"";"";"";
"18.12.2017 08:00";"-12.8";"731.5";"780.7";"";"87";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-14.0";"";"";"60%.";"1000-1500";"";"";"10.0";"-14.6";"";"";"";"";"";"";
"18.12.2017 05:00";"-12.0";"732.3";"781.5";"";"89";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"60%.";"1000-1500";"";"";"4.0";"-13.5";"";"";"";"";"";"";
"18.12.2017 02:00";"-12.5";"732.7";"782.0";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"60%.";"300-600";"";"";"10.0";"-13.8";"";"";"";"";"";"";
"17.12.2017 23:00";"-10.4";"732.5";"781.5";"";"85";"Ветер, дующий с северо-северо-запада";"5";"";"";"100%.";" ";"";"";"";"";"";"60%.";"300-600";"";"";"1.7";"-12.5";"";"";"";"";"";"";
"17.12.2017 20:00";"-10.6";"731.8";"780.8";"";"87";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"-8.4";"";"50%.";"300-600";"";"";"4.4";"-12.3";"";"";"";"";"";"";
"17.12.2017 17:00";"-11.3";"731.5";"780.5";"";"77";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"300-600";"";"";"10.0";"-14.5";"";"";"";"";"";"";
"17.12.2017 14:00";"-10.9";"730.9";"779.8";"";"68";"Ветер, дующий с северо-запада";"7";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"1000-1500";"";"";"10.0";"-15.7";"";"";"";"";"";"";
"17.12.2017 11:00";"-10.1";"729.2";"777.9";"";"76";"Ветер, дующий с северо-запада";"10";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"4.0";"-13.6";"";"";"";"";"";"";
"17.12.2017 08:00";"-8.4";"726.9";"775.1";"";"84";"Ветер, дующий с северо-запада";"10";"14";"";"100%.";" ";"";"";"-8.4";"";"";"100%.";"300-600";"";"";"2.1";"-10.7";"";"";"";"";"";"";
"17.12.2017 05:00";"-7.5";"725.7";"773.6";"";"91";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"100%.";"200-300";"";"";"1.0";"-8.8";"";"";"";"";"";"";
"17.12.2017 02:00";"-7.7";"725.1";"773.0";"";"93";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"2.3";"-8.7";"";"";"";"";"";"";
"16.12.2017 23:00";"-7.6";"725.5";"773.5";"";"93";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"1.7";"-8.6";"";"";"";"";"";"";
"16.12.2017 20:00";"-7.7";"726.1";"774.1";"";"93";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"-6.9";"";"70 – 80%.";"600-1000";"";"";"4.2";"-8.6";"";"";"";"";"";"";
"16.12.2017 17:00";"-7.8";"727.0";"775.1";"";"92";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"2.5";"-8.9";"";"";"";"";"";"";
"16.12.2017 14:00";"-8.0";"727.9";"776.0";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"2.0";"-9.4";"";"";"";"";"";"";
"16.12.2017 11:00";"-10.6";"728.6";"777.4";"";"90";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"1500-2000";"";"";"4.0";"-12.0";"";"";"";"";"";"";
"16.12.2017 08:00";"-11.5";"729.3";"778.3";"";"89";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"-13.2";"";"";"60%.";"1000-1500";"";"";"10.0";"-13.0";"";"";"";"";"";"";
"16.12.2017 05:00";"-11.8";"731.0";"780.1";"";"89";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"50%.";"1500-2000";"";"";"10.0";"-13.3";"";"";"";"";"";"";
"16.12.2017 02:00";"-12.3";"732.6";"781.9";"";"89";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"10.0";"-13.7";"";"";"";"";"";"";
