Местное время в Большом Голоустном;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.01.2017 17:00;-11.7;729.9;775.0;;67;Ветер, дующий с востоко-северо-востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-16.6;;;;;;
14.01.2017 23:00;-13.2;730.6;776.0;;79;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-16.1;;;;;;
15.01.2017 5:00;-12.0;730.3;775.4;;78;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-15.1;;;;;;
15.01.2017 11:00;-11.7;729.9;775.0;;75;Штиль, безветрие;0;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-15.3;;;;;;
15.01.2017 23:00;-14.1;730.3;775.8;;80;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-16.8;;;;;;
16.01.2017 5:00;-15.9;730.6;776.5;;83;Ветер, дующий с севера;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-18.2;;;;;;
16.01.2017 11:00;-13.8;731.8;777.4;;67;Ветер, дующий с северо-северо-запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-18.6;;;;;;
16.01.2017 17:00;-13.6;731.6;777.1;;64;Ветер, дующий с северо-северо-запада;4;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-19.0;;;;;;
16.01.2017 23:00;-16.1;731.4;777.4;;71;Ветер, дующий с севера;6;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-20.2;;;;;;
17.01.2017 5:00;-19.3;731.5;778.1;;76;Ветер, дующий с севера;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-22.5;;;;;;
17.01.2017 17:00;-15.7;733.6;779.6;;61;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-21.5;;;;;;
18.01.2017 5:00;-19.7;737.4;784.4;;63;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.0;;;;;;
18.01.2017 17:00;-17.0;736.4;782.9;;62;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-22.7;;;;;;
18.01.2017 23:00;-22.5;735.3;782.7;;73;Ветер, дующий с северо-северо-запада;7;;;Облаков нет.; ;;;;;;;;;;;-26.1;;;;;;
19.01.2017 17:00;-15.3;728.2;773.8;;80;Ветер, дующий с востоко-северо-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-18.0;;;;;;
19.01.2017 23:00;-15.5;728.5;774.3;;85;Ветер, дующий с севера;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-17.5;;;;;;
20.01.2017 23:00;-19.4;734.1;780.9;;70;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-23.5;;;;;;
21.01.2017 5:00;-23.3;733.6;781.1;;73;Ветер, дующий с севера;6;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-26.8;;;;;;
21.01.2017 17:00;-16.6;732.8;779.0;;73;Ветер, дующий с востоко-северо-востока;4;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-20.4;;;;;;
21.01.2017 23:00;-17.7;732.5;778.9;;76;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-20.9;;;;;;
22.01.2017 5:00;-18.6;731.2;777.7;;76;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.8;;;;;;
22.01.2017 23:00;-18.0;732.2;778.6;;70;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;-22.1;;;;;;
23.01.2017 5:00;-20.6;732.4;779.2;;80;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-23.2;;;;;;
23.01.2017 11:00;-17.0;732.2;778.4;;70;Ветер, дующий с севера;1;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-21.2;;;;;;
23.01.2017 17:00;-16.6;729.2;775.2;;76;Ветер, дующий с востока;7;10;11;Облаков нет.; ;;;;;;;;;;10.0;-19.8;;;;;;
23.01.2017 23:00;-16.5;727.6;773.3;;66;Ветер, дующий с востоко-северо-востока;8;11;12;Облаков нет.; ;;;;;;;;;;;-21.4;;;;;;
