Местное время в Байкальске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.01.2017 17:00;-11.2;728.2;774.7;;74;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-15.0;;;;;;
14.01.2017 23:00;-13.8;728.9;775.9;;87;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.5;;;;;;
15.01.2017 5:00;-12.8;728.5;775.3;;88;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-14.4;;;;;;
15.01.2017 11:00;-11.2;727.9;774.4;;83;Ветер, дующий с юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-13.5;;;;;;
15.01.2017 17:00;-10.2;727.3;773.5;;85;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-12.3;;;;;;
15.01.2017 23:00;-12.1;728.2;774.8;;85;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-14.2;;;;;;
16.01.2017 5:00;-15.0;729.1;776.4;;88;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-16.6;;;;;;
16.01.2017 11:00;-14.2;731.2;778.5;;86;Ветер, дующий с северо-северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-16.0;;;;;;
16.01.2017 17:00;-14.6;730.4;777.7;;86;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.4;;;;;;
16.01.2017 23:00;-17.0;730.4;778.2;;85;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-19.0;;;;;;
17.01.2017 5:00;-16.9;730.6;778.3;;84;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-19.0;;;;;;
17.01.2017 17:00;-15.4;731.9;779.5;;70;Штиль, безветрие;0;;;; ;;;;;;;;;;;-19.7;;;;;;
17.01.2017 23:00;-15.3;735.7;783.5;;85;Штиль, безветрие;0;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-17.3;;;;;;
18.01.2017 5:00;-16.3;737.0;785.1;;85;Ветер, дующий с востока;1;;;100%.;Снег непрерывный сильный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;1.0;-18.2;;;;;;
18.01.2017 17:00;-16.3;736.4;784.4;;81;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-18.9;;;;;;
18.01.2017 23:00;-24.2;733.9;783.4;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-26.0;;;;;;
19.01.2017 5:00;-25.9;732.1;781.8;;84;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-27.8;;;;;;
19.01.2017 11:00;-18.3;729.8;777.7;;85;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.2;;;;;;
