Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
10.07.2018 11:00;13.июл;716.2;759.7;;72;Ветер, дующий с юга;2;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;08.июл;;;;;;
10.07.2018 14:00;16.сен;715.1;758.2;;56;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;8.0;;;;;;
10.07.2018 17:00;18.янв;714.7;757.6;;54;Ветер, дующий с севера;2;;;100%.; ;;;;;;50%.;1000-1500;;;10.0;08.июл;;;;;;
10.07.2018 20:00;18.мар;714.2;757.0;;54;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;19.май;;20–30%.;1500-2000;;;10.0;08.авг;;;;;;
10.07.2018 23:00;14.июн;714.3;757.6;;81;Ветер, дующий с юга;2;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;11.мар;;;;;;
11.07.2018 2:00;13.0;713.8;757.3;;86;Ветер, дующий с юга;3;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;10.июл;;;;;;
11.07.2018 5:00;11.июл;713.1;756.7;;89;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.сен;;;;;;
11.07.2018 8:00;12.май;713.1;756.6;;85;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;11.апр;;;20–30%.;2500 или более, или облаков нет.;;;10.0;10.янв;;;;;;
11.07.2018 11:00;13.сен;712.6;756.0;;82;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;10.авг;;;;;;
11.07.2018 14:00;14.май;711.9;755.0;;89;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;50%.;600-1000;;;4.0;12.июл;;;;;;
11.07.2018 17:00;13.июл;711.7;754.9;;95;Ветер, дующий с запада;5;;;100%.; ;;;;;;50%.;600-1000;;;10.0;12.сен;;;;;;
11.07.2018 20:00;13.янв;711.4;754.8;;97;Ветер, дующий с запада;4;;;100%.; ;;;;15.май;;50%.;100-200;;;10.0;12.июл;;;;;;
11.07.2018 23:00;12.июн;711.2;754.6;;97;Ветер, дующий с запада;3;;;100%.; ;;;;;;60%.;300-600;;;10.0;12.янв;;;;;;
12.07.2018 5:00;12.авг;710.1;753.4;;95;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;50%.;1500-2000;;;10.0;12.0;;;;;;
12.07.2018 8:00;13.сен;710.5;753.6;;91;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;12.0;;;50%.;2500 или более, или облаков нет.;;;10.0;12.апр;;;;;;
12.07.2018 11:00;17.мар;710.1;752.7;;75;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;;;;40%.;600-1000;;;10.0;12.авг;;;;;;
12.07.2018 14:00;20.июл;709.5;751.6;;54;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;50%.;1000-1500;;;10.0;11.янв;;;;;;
12.07.2018 17:00;17.июл;710.0;752.5;;73;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;40%.;600-1000;;;10.0;12.июл;;;;;;
12.07.2018 20:00;15.0;710.5;753.4;;93;Ветер, дующий с запада;5;;;100%.; ;;;;21.мар;;70 – 80%.;300-600;;;10.0;13.авг;;;;;;
12.07.2018 23:00;14.май;710.8;753.8;;96;Ветер, дующий с запада;2;;;100%.; ;;;;;;50%.;300-600;;;10.0;13.сен;;;;;;
13.07.2018 2:00;14.авг;710.3;753.3;;96;Ветер, дующий с запада;3;;;100%.; ;;;;;;50%.;300-600;;;10.0;14.фев;;;;;;
13.07.2018 5:00;15.0;710.2;753.1;;94;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;50%.;300-600;;;10.0;14.0;;;;;;
13.07.2018 8:00;15.июл;710.8;753.6;;92;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;14.фев;;;50%.;1000-1500;;;10.0;14.апр;;;;;;
13.07.2018 11:00;20.фев;710.6;752.8;;79;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;40%.;600-1000;;;10.0;16.апр;;;;;;
13.07.2018 14:00;24.апр;710.1;751.6;;56;Ветер, дующий с запада;5;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;15.0;;;;;;
13.07.2018 17:00;24.июл;709.7;751.2;;52;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;14.фев;;;;;;
13.07.2018 20:00;19.0;709.6;751.9;;87;Ветер, дующий с юго-запада;2;;;100%.; ;;;;25.фев;;50%.;1500-2000;;;10.0;16.июл;;;;;;
13.07.2018 23:00;15.сен;710.2;753.0;;98;Ветер, дующий с востоко-северо-востока;3;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;15.июн;;;;;;
14.07.2018 5:00;11.апр;710.2;753.7;;99;Штиль, безветрие;0;;;60%.; ;;;;;;60%.;50-100;;;0.1;11.мар;;;;;;
14.07.2018 8:00;15.апр;710.0;752.8;;95;Штиль, безветрие;0;;;50%.; ;;;10.май;;;;2500 или более, или облаков нет.;;;10.0;14.июн;;;;;;
14.07.2018 11:00;23.0;709.6;751.2;;70;Ветер, дующий с востока;1;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;17.янв;;;;;;
14.07.2018 14:00;26.июл;708.9;750.1;;38;Ветер, дующий с юго-юго-востока;2;;;70 – 80%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;11.фев;;;;;;
14.07.2018 17:00;27.сен;708.2;749.2;;41;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.апр;;;;;;
14.07.2018 20:00;24.0;708.7;750.1;;62;Ветер, дующий с юга;2;;;20–30%.; ;;;;28.май;;;2500 или более, или облаков нет.;;;10.0;16.фев;;;;;;
14.07.2018 23:00;18.май;709.3;751.6;;65;Ветер, дующий с востока;1;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.авг;;;;;;
15.07.2018 2:00;15.мар;709.0;751.9;;85;Ветер, дующий с востока;2;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.июл;;;;;;
15.07.2018 5:00;13.май;708.7;751.9;;88;Ветер, дующий с юго-востока;1;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.июн;;;;;;
15.07.2018 8:00;16.0;709.3;752.0;;85;Ветер, дующий с юга;2;;;100%.; ;;;11.апр;;;;2500 или более, или облаков нет.;;;10.0;13.апр;;;;;;
15.07.2018 11:00;22.фев;709.0;750.7;;59;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.авг;;;;;;
15.07.2018 14:00;24.июн;708.3;749.7;;54;Ветер, дующий с юга;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.июн;;;;;;
15.07.2018 17:00;24.июн;708.0;749.3;;56;Ветер, дующий с юга;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.мар;;;;;;
15.07.2018 20:00;20.май;708.5;750.5;;66;Ветер, дующий с юга;1;;;100%.; ;;;;26.авг;;;2500 или более, или облаков нет.;;;10.0;13.авг;;;;;;
15.07.2018 23:00;16.авг;709.3;751.9;;85;Ветер, дующий с юга;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.фев;;;;;;
16.07.2018 2:00;15.мар;709.0;751.9;;93;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.фев;;;;;;
16.07.2018 5:00;14.фев;708.5;751.5;;94;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.фев;;;;;;
16.07.2018 8:00;18.фев;708.9;751.3;;78;Ветер, дующий с юга;3;;;100%.; ;;;13.сен;;;;2500 или более, или облаков нет.;;;10.0;14.фев;;;;;;
16.07.2018 11:00;22.июл;708.7;750.3;;67;Ветер, дующий с запада;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;16.мар;;;;;;
16.07.2018 14:00;23.фев;708.5;750.1;;69;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;60%.;1000-1500;;;10.0;17.янв;;;;;;
16.07.2018 17:00;22.сен;708.6;750.2;;70;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;17.янв;;;;;;
16.07.2018 20:00;21.май;709.2;751.0;;71;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;24.сен;;;2500 или более, или облаков нет.;;;10.0;16.0;;;;;;
16.07.2018 23:00;20.янв;709.3;751.3;;76;Ветер, дующий с запада;3;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;15.авг;;;;;;
17.07.2018 2:00;18.июл;709.6;751.9;;78;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;14.июл;;;;;;
17.07.2018 5:00;16.апр;710.1;752.8;;76;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;60%.;600-1000;;;10.0;12.фев;;;;;;
17.07.2018 8:00;16.янв;710.6;753.4;;75;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;15.сен;;;70 – 80%.;600-1000;;;10.0;11.июл;;;;;;
17.07.2018 11:00;17.янв;710.9;753.6;;75;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;100%.;600-1000;;;10.0;12.июл;;;;;;
17.07.2018 14:00;18.фев;710.8;753.3;;74;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;100%.;600-1000;;;10.0;13.май;;;;;;
17.07.2018 17:00;20.0;710.3;752.5;;71;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;14.май;;;;;;
17.07.2018 20:00;19.май;710.2;752.5;;74;Ветер, дующий с запада;4;;;100%.; ;;;;20.июн;;20–30%.;600-1000;;;10.0;14.июл;;;;;;
17.07.2018 23:00;18.0;710.8;753.3;;82;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;14.авг;;;;;;
18.07.2018 2:00;16.янв;710.6;753.4;;91;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.июн;;;;;;
18.07.2018 5:00;14.сен;710.4;753.4;;96;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;60%.;300-600;;;10.0;14.фев;;;;;;
18.07.2018 8:00;15.авг;711.1;753.9;;94;Ветер, дующий с севера;2;;;100%.; ;;;14.0;;;60%.;200-300;;;4.0;14.авг;;;;;;
18.07.2018 11:00;19.авг;710.9;753.1;;69;Ветер, дующий с севера;3;;;100%.; ;;;;;;40%.;600-1000;;;10.0;14.0;;;;;;
18.07.2018 14:00;23.авг;710.2;751.7;;62;Ветер, дующий с юга;3;;;100%.; ;;;;;;40%.;600-1000;;;10.0;16.0;;;;;;
18.07.2018 17:00;24.авг;709.6;751.0;;58;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;16.0;;;;;;
18.07.2018 20:00;23.янв;709.7;751.3;;67;Ветер, дующий с юга;3;;;60%.; ;;;;25.фев;;40%.;1500-2000;;;10.0;16.май;;;;;;
18.07.2018 23:00;19.янв;710.4;752.7;;77;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.0;;;;;;
19.07.2018 2:00;16.май;710.0;752.7;;87;Ветер, дующий с востоко-северо-востока;1;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.мар;;;;;;
19.07.2018 5:00;14.май;710.5;753.5;;98;Ветер, дующий с востока;1;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.фев;;;;;;
19.07.2018 8:00;18.июл;710.5;752.9;;81;Ветер, дующий с востока;1;;;100%.; ;;;13.авг;;;;2500 или более, или облаков нет.;;;10.0;15.мар;;;;;;
19.07.2018 11:00;23.июл;710.0;751.6;;61;Ветер, дующий с юга;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.июн;;;;;;
19.07.2018 14:00;27.янв;708.7;749.8;;55;Ветер, дующий с юга;4;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;17.фев;;;;;;
19.07.2018 17:00;26.сен;707.7;748.7;;48;Ветер, дующий с юга;5;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;14.авг;;;;;;
19.07.2018 20:00;25.июн;707.2;748.3;;58;Штиль, безветрие;0;;;100%.; ;;;;28.мар;;20–30%.;1500-2000;;;10.0;16.июн;;;;;;
19.07.2018 23:00;18.июл;707.3;749.5;;89;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;16.авг;;;;;;
20.07.2018 2:00;16.июл;706.8;749.2;;90;Ветер, дующий с юга;2;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;15.янв;;;;;;
20.07.2018 5:00;15.авг;705.7;748.3;;95;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.0;;;;;;
20.07.2018 8:00;16.авг;705.9;748.3;;93;Ветер, дующий с юга;2;;;100%.; ;;;15.июн;;;50%.;1500-2000;;;10.0;15.июн;;;;;;
20.07.2018 11:00;18.май;705.7;747.8;;87;Штиль, безветрие;0;;;100%.; ;;;;;;40%.;2500 или более, или облаков нет.;;;10.0;16.мар;;;;;;
20.07.2018 17:00;22.мар;705.1;746.5;;77;Ветер, дующий с северо-запада;8;;;100%.; ;;;;;;40%.;1000-1500;;;10.0;18.0;;;;;;
20.07.2018 23:00;16.май;707.2;749.8;;87;Ветер, дующий с западо-северо-запада;7;;;100%.; ;;;;;;100%.;300-600;;;10.0;14.апр;;;;;;
21.07.2018 2:00;15.янв;707.8;750.6;;91;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;100%.;300-600;;;10.0;13.июн;;;;;;
21.07.2018 5:00;14.мар;707.8;750.7;;97;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;100%.;200-300;;;10.0;13.сен;;;;;;
21.07.2018 8:00;15.янв;708.4;751.2;;91;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;14.мар;;;100%.;300-600;;;10.0;13.июн;;;;;;
21.07.2018 11:00;15.июн;709.0;751.9;;86;Ветер, дующий с западо-северо-запада;7;;;100%.; ;;;;;;100%.;300-600;;;10.0;13.фев;;;;;;
21.07.2018 14:00;15.сен;710.1;752.9;;88;Ветер, дующий с западо-северо-запада;8;11;;100%.; ;;;;;;100%.;300-600;;;4.0;13.сен;;;;;;
21.07.2018 17:00;15.апр;711.3;754.2;;98;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;100%.;100-200;;;2.0;15.янв;;;;;;
21.07.2018 20:00;15.июн;712.5;755.5;;97;Ветер, дующий с северо-запада;5;;;100%.; ;;;;16.мар;;60%.;300-600;;;2.0;15.янв;;;;;;
21.07.2018 23:00;14.апр;713.7;757.0;;99;Ветер, дующий с запада;3;;;100%.; ;;;;;;50%.;1000-1500;;;01.фев;14.мар;;;;;;
22.07.2018 2:00;14.янв;714.2;757.6;;99;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;50%.;600-1000;;;1.0;14.0;;;;;;
22.07.2018 5:00;11.июл;714.4;758.0;;100;Ветер, дующий с востоко-северо-востока;3;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;;;;;;;менее 0.1;11.июл;;;;;;
22.07.2018 8:00;13.авг;714.9;758.3;;100;Ветер, дующий с юга;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;11.янв;;;;;;;менее 0.1;13.авг;;;;;;
22.07.2018 11:00;18.0;714.4;757.1;;86;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;90  или более, но не 100%;600-1000;;;01.фев;15.июн;;;;;;
22.07.2018 14:00;21.авг;713.7;755.8;;59;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;90  или более, но не 100%;600-1000;;;01.сен;13.мар;;;;;;
22.07.2018 17:00;22.фев;712.7;754.8;;51;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;20–30%.;600-1000;;;4.0;11.июн;;;;;;
22.07.2018 20:00;20.июн;712.5;754.7;;63;Ветер, дующий с севера;1;;;100%.; ;;;;23.фев;;;2500 или более, или облаков нет.;;;04.фев;13.мар;;;;;;
22.07.2018 23:00;15.авг;713.0;756.0;;86;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;13.апр;;;;;;
23.07.2018 2:00;13.янв;712.8;756.2;;97;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;02.янв;12.июл;;;;;;
23.07.2018 5:00;11.янв;712.5;756.1;;99;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;2.0;11.0;;;;;;
23.07.2018 8:00;14.июл;712.4;755.5;;86;Ветер, дующий с востока;2;;;100%.; ;;;09.сен;;;;2500 или более, или облаков нет.;;;4.0;12.апр;;;;;;
23.07.2018 11:00;20.июн;711.7;754.0;;57;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.авг;;;;;;
23.07.2018 14:00;24.июн;710.5;752.1;;51;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.авг;;;;;;
23.07.2018 17:00;24.сен;710.2;751.6;;50;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.июл;;;;;;
23.07.2018 23:00;14.май;711.0;754.1;;79;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.сен;;;;;;
24.07.2018 2:00;12.0;710.8;754.3;;88;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.янв;;;;;;
24.07.2018 5:00;11.июн;710.4;753.9;;88;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;09.июн;;;;;;
24.07.2018 8:00;16.фев;709.9;752.7;;69;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;10.июн;;;;2500 или более, или облаков нет.;;;10.0;10.май;;;;;;
24.07.2018 11:00;22.авг;708.7;750.4;;51;Ветер, дующий с юго-юго-востока;6;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.фев;;;;;;
24.07.2018 14:00;27.авг;706.7;747.5;;47;Ветер, дующий с юго-юго-востока;5;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.май;;;;;;
24.07.2018 17:00;28.май;705.4;746.1;;46;Ветер, дующий с юга;7;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.июн;;;;;;
24.07.2018 20:00;23.0;704.6;746.0;;62;Ветер, дующий с юга;5;;;40%.; ;;;;30.0;;;2500 или более, или облаков нет.;;;10.0;15.мар;;;;;;
24.07.2018 23:00;17.апр;705.2;747.5;;76;Ветер, дующий с юга;3;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.янв;;;;;;
25.07.2018 2:00;16.июл;706.0;748.4;;78;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.авг;;;;;;
25.07.2018 5:00;14.сен;706.1;748.9;;91;Штиль, безветрие;0;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.апр;;;;;;
25.07.2018 8:00;19.0;706.6;748.6;;85;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;14.июл;;;60%.;300-600;;;10.0;16.апр;;;;;;
25.07.2018 11:00;20.0;706.3;748.3;;81;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;60%.;300-600;;;10.0;16.июл;;;;;;
25.07.2018 14:00;24.0;705.4;746.7;;66;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;;40%.;600-1000;;;10.0;17.фев;;;;;;
25.07.2018 17:00;23.апр;706.1;747.5;;69;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;40%.;600-1000;;;10.0;17.апр;;;;;;
25.07.2018 20:00;22.июн;706.3;747.8;;69;Ветер, дующий с северо-запада;8;10;;100%.; ;;;;25.фев;;50%.;1000-1500;;;10.0;16.июл;;;;;;
25.07.2018 23:00;19.фев;707.5;749.6;;87;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;60%.;1000-1500;;;10.0;17.0;;;;;;
26.07.2018 2:00;16.июн;705.7;748.0;;99;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;70 – 80%.;300-600;;;10.0;16.май;;;;;;
26.07.2018 5:00;17.янв;705.4;747.7;;99;Ветер, дующий с запада;1;;;100%.; ;;;;;;100%.;100-200;;;10.0;16.сен;;;;;;
26.07.2018 8:00;17.0;706.0;748.3;;99;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;16.июн;;;100%.;50-100;;;10.0;16.сен;;;;;;
26.07.2018 11:00;16.авг;707.6;750.1;;99;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;100%.;100-200;;;04.сен;16.июл;;;;;;
26.07.2018 14:00;17.фев;708.1;750.6;;90;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;100%.;600-1000;;;10.0;15.июн;;;;;;
26.07.2018 17:00;18.мар;708.6;750.9;;86;Ветер, дующий с северо-северо-запада;7;;;100%.; ;;;;;;60%.;300-600;;;10.0;15.сен;;;;;;
26.07.2018 20:00;13.апр;712.2;755.5;;94;Ветер, дующий с западо-северо-запада;8;13;;100%.; ;;;;19.мар;;70 – 80%.;300-600;;;10.0;12.май;;;;;;
26.07.2018 23:00;12.мар;715.2;758.8;;84;Ветер, дующий с запада;5;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;09.июн;;;;;;
27.07.2018 2:00;11.сен;715.8;759.6;;84;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.мар;;;;;;
27.07.2018 5:00;10.мар;715.9;760.0;;91;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;08.сен;;;;;;
27.07.2018 11:00;18.фев;716.5;759.4;;56;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.фев;;;;;;
27.07.2018 14:00;20.сен;715.7;758.2;;43;Ветер, дующий с юга;1;;;50%.; ;;;;;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;07.авг;;;;;;
27.07.2018 17:00;21.авг;715.2;757.5;;36;Ветер, дующий с юга;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;6.0;;;;;;
27.07.2018 20:00;18.сен;715.5;758.2;;51;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;22.май;;;;;;10.0;08.май;;;;;;
27.07.2018 23:00;12.июл;715.9;759.6;;84;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;10.янв;;;;;;
28.07.2018 2:00;08.июл;715.9;760.3;;93;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;07.июн;;;;;;
28.07.2018 5:00;06.июл;715.9;760.5;;97;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;06.мар;;;;;;
28.07.2018 8:00;12.сен;715.7;759.4;;74;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;06.янв;;;;2500 или более, или облаков нет.;;;10.0;08.апр;;;;;;
28.07.2018 11:00;19.май;715.4;758.0;;55;Ветер, дующий с юга;4;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.фев;;;;;;
28.07.2018 14:00;24.фев;713.9;755.8;;42;Ветер, дующий с юга;4;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.мар;;;;;;
28.07.2018 17:00;25.июн;713.0;754.6;;39;Ветер, дующий с юга;6;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.июн;;;;;;
28.07.2018 20:00;21.янв;713.2;755.4;;56;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;;26.мар;;;2500 или более, или облаков нет.;;;10.0;11.сен;;;;;;
28.07.2018 23:00;14.июн;713.5;756.7;;78;Ветер, дующий с юга;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.авг;;;;;;
29.07.2018 2:00;12.авг;713.4;756.9;;81;Штиль, безветрие;0;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.май;;;;;;
29.07.2018 5:00;10.май;713.1;756.9;;91;Ветер, дующий с востока;2;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.янв;;;;;;
29.07.2018 8:00;15.0;713.4;756.6;;78;Ветер, дующий с юго-юго-востока;3;;;20–30%.; ;;;09.июн;;;;2500 или более, или облаков нет.;;;10.0;11.фев;;;;;;
29.07.2018 11:00;22.июл;713.2;755.2;;49;Ветер, дующий с юга;5;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.мар;;;;;;
29.07.2018 14:00;26.сен;712.5;753.8;;42;Ветер, дующий с юга;4;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.0;;;;;;
29.07.2018 17:00;27.мар;711.1;752.4;;35;Ветер, дующий с юго-юго-востока;4;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.июл;;;;;;
29.07.2018 20:00;22.май;712.3;754.3;;55;Ветер, дующий с запада;7;10;;100%.; ;;;;28.фев;;40%.;1500-2000;;;10.0;13.0;;;;;;
29.07.2018 23:00;16.май;713.2;756.0;;99;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;60%.;600-1000;;;10.0;16.мар;;;;;;
30.07.2018 2:00;16.апр;713.7;756.6;;91;Ветер, дующий с запада;5;;;100%.; ;;;;;;50%.;600-1000;;;10.0;15.0;;;;;;
30.07.2018 5:00;15.май;713.8;756.9;;99;Ветер, дующий с запада;3;;;100%.; ;;;;;;100%.;100-200;;;10.0;15.апр;;;;;;
30.07.2018 8:00;15.0;716.1;759.4;;94;Ветер, дующий с западо-северо-запада;8;13;;100%.; ;;;15.0;;;100%.;200-300;;;10.0;14.янв;;;;;;
30.07.2018 11:00;18.июн;717.5;760.3;;68;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;60%.;600-1000;;;10.0;12.май;;;;;;
30.07.2018 14:00;21.июн;717.5;760.0;;50;Ветер, дующий с северо-запада;4;;;60%.; ;;;;;;40%.;1000-1500;;;10.0;10.июл;;;;;;
30.07.2018 17:00;24.0;717.1;759.2;;37;Ветер, дующий с северо-запада;6;;;60%.; ;;;;;;40%.;1000-1500;;;10.0;08.май;;;;;;
30.07.2018 20:00;22.мар;717.3;759.6;;46;Ветер, дующий с северо-северо-запада;2;;;20–30%.; ;;;;24.мар;;;2500 или более, или облаков нет.;;;10.0;10.0;;;;;;
30.07.2018 23:00;16.мар;718.1;761.4;;71;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.сен;;;;;;
