Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
21.01.2017 23:00;-20.0;726.8;777.3;;84;Ветер, дующий с востока;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-22.0;;;;;;
22.01.2017 5:00;-20.5;725.2;775.6;;82;Ветер, дующий с востока;3;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-22.8;;;;;;
22.01.2017 11:00;-17.9;724.9;774.7;;74;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-21.5;;;;;;
22.01.2017 17:00;-16.2;725.2;774.8;;68;Ветер, дующий с юго-юго-востока;4;;;10%  или менее, но не 0; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-20.8;;;;;;
22.01.2017 23:00;-19.5;726.7;777.1;;82;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-21.8;;;;;;
23.01.2017 5:00;-18.4;726.7;776.8;;80;Ветер, дующий с юго-востока;4;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-21.0;;;;;;
23.01.2017 11:00;-16.4;726.0;775.6;;75;Ветер, дующий с юго-юго-востока;6;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-19.9;;;;;;
23.01.2017 17:00;-14.4;723.2;772.3;;69;Ветер, дующий с юго-юго-востока;6;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.9;;;;;;
23.01.2017 23:00;-17.1;721.3;770.8;;74;Ветер, дующий с юго-юго-востока;5;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-20.7;;;;;;
24.01.2017 5:00;-16.3;719.4;768.6;;71;Ветер, дующий с юго-юго-востока;6;;;Облаков нет.; ;;;;;;;;;;10.0;-20.4;;;;;;
24.01.2017 11:00;-14.2;718.7;767.5;;66;Ветер, дующий с юго-юго-востока;7;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-19.2;;;;;;
24.01.2017 17:00;-12.8;720.4;769.0;;69;Ветер, дующий с юго-юго-востока;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-17.3;;;;;;
