"Местное время в Усолье-Сибирском";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 23:00";"-30.0";"735.0";"";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 20:00";"-28.0";"735.0";"";"";"72";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 17:00";"-26.0";"734.0";"";"";"68";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 14:00";"-27.0";"734.0";"";"";"64";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 11:00";"-33.0";"735.0";"";"";"66";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 08:00";"-37.0";"734.0";"";"";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 05:00";"-37.0";"735.0";"";"";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31.12.2020 02:00";"-36.0";"735.0";"";"";"65";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 23:00";"-34.0";"736.0";"";"";"67";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 20:00";"-32.0";"737.0";"";"";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 17:00";"-27.0";"737.0";"";"";"67";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 14:00";"-25.0";"738.0";"";"";"63";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 11:00";"-30.0";"741.0";"";"";"68";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 08:00";"-33.0";"742.0";"";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 05:00";"-33.0";"744.0";"";"";"66";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2020 02:00";"-32.0";"746.0";"";"";"66";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 23:00";"-29.0";"751.0";"";"";"66";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 20:00";"-30.0";"749.0";"";"";"70";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 17:00";"-29.0";"751.0";"";"";"66";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 14:00";"-28.0";"751.0";"";"";"60";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 11:00";"-36.0";"753.0";"";"";"63";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 08:00";"-38.0";"753.0";"";"";"62";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 05:00";"-37.0";"753.0";"";"";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2020 02:00";"-34.0";"753.0";"";"";"67";"Ветер, дующий с запада";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 23:00";"-33.0";"752.0";"";"";"68";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 20:00";"-30.0";"752.0";"";"";"70";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 17:00";"-28.0";"751.0";"";"";"63";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 14:00";"-28.0";"750.0";"";"";"58";"Ветер, дующий с северо-запада";"2";"";"";"";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 11:00";"-30.0";"750.0";"";"";"62";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 08:00";"-31.0";"749.0";"";"";"66";"Ветер, дующий с северо-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 05:00";"-31.0";"748.0";"";"";"67";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2020 02:00";"-30.0";"747.0";"";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 23:00";"-29.0";"746.0";"";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 20:00";"-28.0";"744.0";"";"";"66";"Ветер, дующий с севера";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 17:00";"-27.0";"742.0";"";"";"63";"Ветер, дующий с северо-запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 14:00";"-26.0";"740.0";"";"";"61";"Ветер, дующий с севера";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 11:00";"-27.0";"739.0";"";"";"69";"Ветер, дующий с севера";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 08:00";"-30.0";"738.0";"";"";"72";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 05:00";"-31.0";"736.0";"";"";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2020 02:00";"-29.0";"735.0";"";"";"73";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 23:00";"-28.0";"734.0";"";"";"74";"Ветер, дующий с юго-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 20:00";"-26.0";"733.0";"";"";"77";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 17:00";"-20.0";"731.0";"";"";"60";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 14:00";"-16.0";"730.0";"";"";"57";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 11:00";"-17.0";"729.0";"";"";"68";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 08:00";"-14.0";"727.0";"";"";"72";"Ветер, дующий с севера";"4";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 05:00";"-12.0";"724.0";"";"";"86";"Ветер, дующий с северо-запада";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2020 02:00";"-15.0";"721.0";"";"";"85";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 23:00";"-17.0";"717.0";"";"";"82";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 20:00";"-14.0";"717.0";"";"";"85";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 17:00";"-16.0";"717.0";"";"";"82";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 14:00";"-16.0";"719.0";"";"";"76";"Ветер, дующий с северо-востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 11:00";"-21.0";"721.0";"";"";"79";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 08:00";"-24.0";"722.0";"";"";"78";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 05:00";"-23.0";"722.0";"";"";"78";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2020 02:00";"-22.0";"723.0";"";"";"79";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 23:00";"-18.0";"723.0";"";"";"82";"Ветер, дующий с юго-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 20:00";"-18.0";"723.0";"";"";"80";"Штиль, безветрие";"0";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 17:00";"-18.0";"721.0";"";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 14:00";"-19.0";"721.0";"";"";"76";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 11:00";"-22.0";"722.0";"";"";"78";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 08:00";"-22.0";"723.0";"";"";"81";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 05:00";"-24.0";"725.0";"";"";"77";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2020 02:00";"-21.0";"726.0";"";"";"80";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 23:00";"-16.0";"727.0";"";"";"82";"Ветер, дующий с запада";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 20:00";"-17.0";"725.0";"";"";"81";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 17:00";"-17.0";"723.0";"";"";"81";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 14:00";"-15.0";"723.0";"";"";"76";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 11:00";"-20.0";"724.0";"";"";"81";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 08:00";"-23.0";"725.0";"";"";"81";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 05:00";"-25.0";"726.0";"";"";"77";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2020 02:00";"-21.0";"727.0";"";"";"81";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 23:00";"-19.0";"727.0";"";"";"83";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 20:00";"-17.0";"727.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 17:00";"-14.0";"727.0";"";"";"87";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 14:00";"-13.0";"726.0";"";"";"84";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег или ливневый дождь и снег. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 11:00";"-17.0";"725.0";"";"";"83";"Ветер, дующий с юго-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 08:00";"-20.0";"724.0";"";"";"81";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 05:00";"-17.0";"724.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2020 02:00";"-13.0";"724.0";"";"";"88";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 23:00";"-12.0";"724.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 20:00";"-12.0";"724.0";"";"";"84";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 17:00";"-11.0";"724.0";"";"";"76";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 14:00";"-12.0";"721.0";"";"";"75";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 11:00";"-17.0";"722.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 08:00";"-19.0";"721.0";"";"";"82";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 05:00";"-18.0";"721.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2020 02:00";"-19.0";"722.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 23:00";"-18.0";"722.0";"";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 20:00";"-16.0";"722.0";"";"";"87";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 17:00";"-10.0";"724.0";"";"";"67";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 14:00";"-9.0";"725.0";"";"";"69";"Ветер, дующий с северо-востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 11:00";"-17.0";"727.0";"";"";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 08:00";"-20.0";"727.0";"";"";"80";"Ветер, дующий с северо-востока";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 05:00";"-19.0";"727.0";"";"";"81";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2020 02:00";"-20.0";"727.0";"";"";"80";"Ветер, дующий с востока";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 23:00";"-21.0";"728.0";"";"";"80";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 20:00";"-19.0";"728.0";"";"";"85";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 17:00";"-12.0";"727.0";"";"";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 14:00";"-11.0";"729.0";"";"";"70";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 11:00";"-17.0";"731.0";"";"";"84";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 08:00";"-23.0";"731.0";"";"";"78";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 05:00";"-21.0";"732.0";"";"";"81";"Ветер, дующий с востока";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2020 02:00";"-19.0";"732.0";"";"";"83";"Ветер, дующий с юго-востока";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 23:00";"-15.0";"732.0";"";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 20:00";"-16.0";"732.0";"";"";"82";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 17:00";"-14.0";"732.0";"";"";"72";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 14:00";"-15.0";"731.0";"";"";"68";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 11:00";"-21.0";"731.0";"";"";"79";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 08:00";"-25.0";"731.0";"";"";"77";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 05:00";"-27.0";"732.0";"";"";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2020 02:00";"-27.0";"733.0";"";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 23:00";"-26.0";"734.0";"";"";"77";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 20:00";"-22.0";"735.0";"";"";"79";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 17:00";"-17.0";"736.0";"";"";"64";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 14:00";"-17.0";"737.0";"";"";"64";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 11:00";"-23.0";"740.0";"";"";"77";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 08:00";"-28.0";"740.0";"";"";"75";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 05:00";"-24.0";"740.0";"";"";"80";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2020 02:00";"-19.0";"739.0";"";"";"75";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 23:00";"-15.0";"738.0";"";"";"70";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 20:00";"-12.0";"736.0";"";"";"88";"Ветер, дующий с северо-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 17:00";"-9.0";"733.0";"";"";"87";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 14:00";"-10.0";"731.0";"";"";"82";"Ветер, дующий с запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 11:00";"-16.0";"728.0";"";"";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 08:00";"-18.0";"727.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 05:00";"-17.0";"726.0";"";"";"83";"Ветер, дующий с востока";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2020 02:00";"-18.0";"726.0";"";"";"81";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 23:00";"-20.0";"727.0";"";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 20:00";"-20.0";"727.0";"";"";"80";"Ветер, дующий с юга";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 17:00";"-16.0";"727.0";"";"";"79";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 14:00";"-14.0";"727.0";"";"";"69";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 11:00";"-19.0";"730.0";"";"";"79";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 08:00";"-23.0";"730.0";"";"";"78";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 05:00";"-20.0";"731.0";"";"";"80";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2020 02:00";"-21.0";"731.0";"";"";"79";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2020 23:00";"-22.0";"731.0";"";"";"78";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2020 20:00";"-21.0";"731.0";"";"";"79";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2020 17:00";"-19.0";"731.0";"";"";"72";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2020 14:00";"-20.0";"730.0";"";"";"69";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2020 11:00";"-23.0";"731.0";"";"";"73";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2020 08:00";"-25.0";"731.0";"";"";"74";"Ветер, дующий с юго-востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
