Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
25.06.2017 2:00;21.мар;713.0;;;39;Ветер, дующий с севера;2;;;60%.; ;;;;;;;;;;;;;;;;;
25.06.2017 8:00;10.0;714.0;;;78;Ветер, дующий с юго-востока;4;;;60%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;;;06.мар;;;;;;;20.0;;Осадков нет;12;;;;
25.06.2017 14:00;11.май;713.0;;;79;Ветер, дующий с юго-востока;4;;;; ;;;;;;;;;;10.0;;;;;;;
25.06.2017 20:00;12.янв;712.0;;;73;Ветер, дующий с севера;2;;;90  или более, но не 100%;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;;;;12.янв;;;;;;10.0;;Осадков нет;12;;;;
26.06.2017 2:00;9.0;712.0;;;89;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
26.06.2017 8:00;11.мар;713.0;;;80;Ветер, дующий с юга;1;;;40%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;;;07.фев;;;;;;;10.0;;Осадков нет;12;;;;
26.06.2017 14:00;13.янв;713.0;;;75;Ветер, дующий с юга;1;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;;;;;;;;;;4.0;;;;;;;
26.06.2017 20:00;11.сен;713.0;;;84;Ветер, дующий с юго-запада;2;;;70 – 80%.;Гроза, но без осадков, в срок наблюдения. ;;;;;;;;;;10.0;;Осадков нет;12;;;;
27.06.2017 2:00;12.июн;714.0;;;87;Ветер, дующий с юго-востока;3;;;60%.;Состояние неба в общем не изменилось. ;;;;;;;;;;;;;;;;;
27.06.2017 8:00;10.июл;716.0;;;95;Ветер, дующий с юго-востока;6;;;40%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;08.сен;;;;;;;2.0;;Следы осадков;12;;;;
27.06.2017 14:00;11.июн;717.0;;;89;Ветер, дующий с юго-востока;1;;;100%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;;;;;;;2.0;;;;;;;
27.06.2017 20:00;8.0;717.0;;;91;Ветер, дующий с юго-востока;1;;;40%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;14.сен;;;;;;10.0;;Осадков нет;12;;;;
28.06.2017 2:00;07.фев;718.0;;;97;Ветер, дующий с юго-востока;3;;;20–30%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;;;;;;;;;;;;;;
28.06.2017 8:00;8.0;719.0;;;93;Ветер, дующий с северо-запада;1;;;Облаков нет.;Снег с перерывами сильный в срок наблюдения. ;;;06.июн;;;;;;;0.5;;Осадков нет;12;;;;
28.06.2017 14:00;10.0;719.0;;;99;Ветер, дующий с юга;2;;;40%.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;;;;;;;;;;0.5;;;;;;;
28.06.2017 20:00;13.май;719.0;;;88;Ветер, дующий с северо-востока;2;;;40%.;Гроза, но без осадков, в срок наблюдения. ;;;;18.0;;;;;;10.0;;1.0;12;;;;
29.06.2017 2:00;8.0;719.0;;;100;Ветер, дующий с юго-востока;1;;;20–30%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;;;;;;;;;;;;;;
29.06.2017 8:00;06.фев;720.0;;;100;Ветер, дующий с юго-востока;3;;;;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;;;05.сен;;;;;;;0.2;;Осадков нет;12;;;;
29.06.2017 14:00;08.апр;720.0;;;97;Ветер, дующий с юга;3;;;10%  или менее, но не 0;Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. ;;;;;;;;;;0.5;;;;;;;
29.06.2017 20:00;11.сен;718.0;;;88;Ветер, дующий с северо-запада;2;;;Облаков нет.;Состояние неба в общем не изменилось. ;;;;12.июл;;;;;;50.0;;Осадков нет;12;;;;
30.06.2017 2:00;09.июн;719.0;;;97;Ветер, дующий с севера;2;;;10%  или менее, но не 0;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;;;;;;;;;;;;;;
30.06.2017 8:00;05.авг;719.0;;;100;Ветер, дующий с юго-запада;1;;;;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;;;04.июл;;;;;;;0.5;;Осадков нет;12;;;;
30.06.2017 14:00;13.июл;732.0;;;83;Ветер, дующий с севера;4;;;70 – 80%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;;;;;;;20.0;;;;;;;
30.06.2017 20:00;13.0;719.0;;;80;Ветер, дующий с северо-востока;2;;;60%.; ;;;;17.июн;;;;;;50.0;;Осадков нет;12;;;;
01.07.2017 2:00;08.апр;714.0;;;95;Ветер, дующий с востока;1;;;40%.; ;;;;;;;;;;;;;;;;;
01.07.2017 8:00;16.фев;714.0;;;71;Ветер, дующий с северо-востока;6;;;10%  или менее, но не 0; ;;;07.июл;;;;;;;50.0;;Осадков нет;12;;;;
01.07.2017 14:00;22.0;712.0;;;41;Ветер, дующий с севера;6;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
01.07.2017 20:00;17.янв;710.0;;;56;Ветер, дующий с севера;6;;;70 – 80%.; ;;;;24.сен;;;;;;50.0;;Осадков нет;12;;;;
02.07.2017 2:00;14.фев;710.0;;;56;Ветер, дующий с севера;6;;;100%.; ;;;;;;;;;;;;;;;;;
02.07.2017 8:00;15.фев;711.0;;;59;Ветер, дующий с северо-запада;2;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;;;13.авг;;;;;;;10.0;;Осадков нет;12;;;;
02.07.2017 14:00;23.фев;709.0;;;44;Ветер, дующий с севера;6;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;;;;;;;;;;10.0;;;;;;;
02.07.2017 20:00;17.июн;707.0;;;59;Ветер, дующий с северо-востока;7;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;23.сен;;;;;;10.0;;0.5;12;;;;
03.07.2017 2:00;11.май;707.0;;;95;Ветер, дующий с северо-востока;1;;;100%.;Ливневый(ые) дождь(и). ;;;;;;;;;;;;;;;;;
03.07.2017 8:00;09.июл;709.0;;;96;Ветер, дующий с юго-востока;5;;;70 – 80%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;07.фев;;;;;;;10.0;;7.0;12;;;;
03.07.2017 14:00;11.фев;709.0;;;96;Ветер, дующий с юго-востока;2;;;;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;;;;;;;;;;0.2;;;;;;;
03.07.2017 20:00;12.май;710.0;;;96;Ветер, дующий с юго-востока;5;;;90  или более, но не 100%;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;15.сен;;;;;;10.0;;Осадков нет;12;;;;
04.07.2017 2:00;10.мар;711.0;;;96;Ветер, дующий с юго-запада;2;;;;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;;;;;;;;;;;;;;;;;
04.07.2017 8:00;12.сен;712.0;;;89;Ветер, дующий с севера;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;11.апр;;;;;;;2.0;;Следы осадков;12;;;;
04.07.2017 14:00;09.сен;714.0;;;99;Ветер, дующий с юго-востока;3;;;;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;;;;;;;;;;0.2;;;;;;;
04.07.2017 20:00;07.мар;715.0;;;99;Ветер, дующий с юго-востока;8;;;100%.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;;;;11.авг;;;;;;0.5;;6.0;12;;;;
05.07.2017 2:00;7.0;714.0;;;99;Ветер, дующий с юга;8;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;;;;;;;;;;;;;;
05.07.2017 8:00;7.0;715.0;;;99;Ветер, дующий с юга;10;;;;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;;;06.апр;;;;;;;2.0;;3.0;12;;;;
05.07.2017 14:00;06.май;716.0;;;99;Ветер, дующий с юго-востока;6;;;90  или более, но не 100%;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;;;;;;;20.0;;;;;;;
05.07.2017 20:00;08.июл;716.0;;;85;Ветер, дующий с юго-востока;5;;;90  или более, но не 100%; ;;;;09.май;;;;;;50.0;;0.8;12;;;;
06.07.2017 2:00;06.июн;716.0;;;91;Ветер, дующий с севера;1;;;10%  или менее, но не 0; ;;;;;;;;;;;;;;;;;
06.07.2017 8:00;07.авг;717.0;;;86;Ветер, дующий с севера;5;;;Облаков нет.; ;;;06.мар;;;;;;;50.0;;Осадков нет;12;;;;
06.07.2017 14:00;12.сен;716.0;;;76;Ветер, дующий с северо-востока;4;;;40%.; ;;;;;;;;;;50.0;;;;;;;
06.07.2017 20:00;12.май;713.0;;;77;Ветер, дующий с северо-востока;5;;;20–30%.; ;;;;14.фев;;;;;;50.0;;Осадков нет;12;;;;
07.07.2017 2:00;12.сен;713.0;;;66;Ветер, дующий с северо-востока;6;;;40%.; ;;;;;;;;;;;;;;;;;
07.07.2017 8:00;14.мар;713.0;;;61;Ветер, дующий с севера;6;;;90  или более, но не 100%; ;;;10.фев;;;;;;;50.0;;Осадков нет;12;;;;
07.07.2017 14:00;10.май;715.0;;;75;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;;;;;;50.0;;;;;;;
07.07.2017 20:00;11.мар;716.0;;;89;Ветер, дующий с юго-востока;4;;;100%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;;14.май;;;;;;20.0;;Осадков нет;12;;;;
08.07.2017 2:00;11.июн;717.0;;;90;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;;;;;;;;;;;
08.07.2017 8:00;08.июн;716.0;;;95;Ветер, дующий с северо-востока;2;;;70 – 80%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;07.фев;;;;;;;20.0;;Осадков нет;12;;;;
08.07.2017 14:00;19.июн;715.0;;;45;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
08.07.2017 20:00;09.май;715.0;;;86;Ветер, дующий с севера;1;;;100%.; ;;;;21.0;;;;;;50.0;;;;;;;
09.07.2017 2:00;12.мар;728.0;;;69;Ветер, дующий с востока;1;;;100%.; ;;;;;;;;;;;;;;;;;
09.07.2017 8:00;10.апр;713.0;;;75;Ветер, дующий с юго-востока;3;;;100%.; ;;;07.апр;;;;;;;50.0;;Осадков нет;12;;;;
09.07.2017 14:00;10.июн;712.0;;;78;Ветер, дующий с юга;3;;;40%.; ;;;;;;;;;;50.0;;;;;;;
09.07.2017 20:00;10.сен;711.0;;;76;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
10.07.2017 2:00;10.сен;711.0;;;74;Ветер, дующий с юго-востока;3;;;10%  или менее, но не 0; ;;;;;;;;;;;;;;;;;
10.07.2017 8:00;13.сен;712.0;;;68;Ветер, дующий с юго-запада;2;;;40%.; ;;;09.июн;;;;;;;50.0;;Осадков нет;12;;;;
10.07.2017 14:00;12.май;713.0;;;71;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
10.07.2017 20:00;11.май;713.0;;;74;Ветер, дующий с северо-запада;3;;;70 – 80%.; ;;;;14.май;;;;;;50.0;;Осадков нет;12;;;;
11.07.2017 2:00;12.май;713.0;;;74;Ветер, дующий с юга;3;;;40%.; ;;;;;;;;;;;;;;;;;
11.07.2017 8:00;11.авг;713.0;;;73;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
11.07.2017 14:00;12.июн;712.0;;;76;Ветер, дующий с запада;1;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
11.07.2017 20:00;12.июл;712.0;;;77;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;12.июл;;;;;;50.0;;Осадков нет;12;;;;
12.07.2017 2:00;12.мар;713.0;;;72;Ветер, дующий с юга;1;;;90  или более, но не 100%; ;;;;;;;;;;;;;;;;;
12.07.2017 8:00;11.янв;714.0;;;80;Ветер, дующий с юго-востока;5;;;60%.; ;;;10.апр;;;;;;;50.0;;Осадков нет;12;;;;
12.07.2017 14:00;10.0;714.0;;;91;Ветер, дующий с юго-востока;4;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
12.07.2017 20:00;10.сен;714.0;;;85;Ветер, дующий с юга;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;10.сен;;;;;;50.0;;Следы осадков;12;;;;
13.07.2017 2:00;10.мар;715.0;;;86;Ветер, дующий с юго-востока;2;;;60%.; ;;;;;;;;;;;;;;;;;
13.07.2017 8:00;10.авг;715.0;;;85;Ветер, дующий с юго-востока;2;;;10%  или менее, но не 0; ;;;09.апр;;;;;;;50.0;;Осадков нет;12;;;;
13.07.2017 14:00;11.июн;715.0;;;84;Ветер, дующий с юго-востока;3;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
13.07.2017 20:00;14.июл;715.0;;;71;Ветер, дующий с юго-востока;1;;;10%  или менее, но не 0; ;;;;14.июл;;;;;;50.0;;Осадков нет;12;;;;
14.07.2017 2:00;10.мар;714.0;;;90;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
14.07.2017 8:00;14.мар;715.0;;;72;Ветер, дующий с северо-востока;2;;;100%.; ;;;09.май;;;;;;;50.0;;Осадков нет;12;;;;
14.07.2017 14:00;13.май;715.0;;;85;Ветер, дующий с севера;3;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
14.07.2017 20:00;13.0;716.0;;;81;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;13.май;;;;;;50.0;;Осадков нет;12;;;;
15.07.2017 2:00;13.мар;716.0;;;76;Ветер, дующий с запада;2;;;40%.; ;;;;;;;;;;;;;;;;;
15.07.2017 8:00;13.мар;718.0;;;77;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
15.07.2017 14:00;15.0;717.0;;;82;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
15.07.2017 20:00;17.авг;715.0;;;65;Ветер, дующий с северо-востока;3;;;100%.; ;;;;17.авг;;;;;;50.0;;Осадков нет;12;;;;
16.07.2017 2:00;11.июл;717.0;;;96;Ветер, дующий с юго-востока;3;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
16.07.2017 8:00;12.июн;717.0;;;93;Ветер, дующий с юго-востока;4;;;20–30%.; ;;;11.мар;;;;;;;50.0;;Осадков нет;12;;;;
16.07.2017 14:00;14.апр;719.0;;;82;Ветер, дующий с юго-востока;4;;;40%.; ;;;;;;;;;;50.0;;;;;;;
16.07.2017 20:00;14.мар;717.0;;;87;Ветер, дующий с юга;2;;;20–30%.; ;;;;14.апр;;;;;;50.0;;Осадков нет;12;;;;
17.07.2017 2:00;14.май;717.0;;;81;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;;;;;;;;;;;;;;;
17.07.2017 8:00;15.0;718.0;;;91;Ветер, дующий с востока;1;;;100%.;Ливневый(ые) дождь(и). ;;;;;;;;;;50.0;;0.8;12;;;;
17.07.2017 14:00;13.май;719.0;;;87;Ветер, дующий с юго-востока;4;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
17.07.2017 20:00;12.сен;720.0;;;93;Ветер, дующий с юго-востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;13.май;;;;;;50.0;;5.0;12;;;;
18.07.2017 8:00;12.июл;721.0;;;87;Ветер, дующий с юго-востока;2;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;0.3;12;;;;
18.07.2017 20:00;17.июн;719.0;;;59;Ветер, дующий с севера;2;;;40%.; ;;;;17.июн;;;;;;50.0;;Осадков нет;12;;;;
19.07.2017 8:00;13.июл;718.0;;;93;Ветер, дующий с севера;4;;;100%.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;13.янв;;;;;;;20.0;;Осадков нет;12;;;;
19.07.2017 20:00;12.июн;718.0;;;92;Ветер, дующий с юго-востока;1;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
20.07.2017 8:00;12.сен;726.0;;;96;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
20.07.2017 20:00;17.май;716.0;;;66;Ветер, дующий с севера;2;;;40%.; ;;;;17.май;;;;;;50.0;;Осадков нет;12;;;;
21.07.2017 8:00;12.мар;718.0;;;97;Ветер, дующий с юга;4;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;11.июл;;;;;;;10.0;;2.0;12;;;;
21.07.2017 20:00;13.сен;718.0;;;88;Ветер, дующий с юго-востока;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;13.сен;;;;;;50.0;;8.0;12;;;;
22.07.2017 8:00;13.апр;734.0;;;86;Ветер, дующий с юго-востока;3;;;70 – 80%.; ;;;12.май;;;;;;;50.0;;Следы осадков;12;;;;
22.07.2017 20:00;13.мар;720.0;;;92;Ветер, дующий с юга;3;;;60%.; ;;;;13.май;;;;;;50.0;;Осадков нет;12;;;;
23.07.2017 8:00;13.май;721.0;;;86;Ветер, дующий с северо-востока;2;;;60%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
23.07.2017 20:00;15.июн;721.0;;;70;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;16.апр;;;;;;50.0;;Осадков нет;12;;;;
24.07.2017 8:00;13.апр;721.0;;;88;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;11.авг;;;;;;;50.0;;Осадков нет;12;;;;
24.07.2017 14:00;16.июл;720.0;;;58;Ветер, дующий с северо-востока;5;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
24.07.2017 20:00;15.мар;718.0;;;75;Ветер, дующий с севера;4;;;100%.; ;;;;16.июл;;;;;;50.0;;Осадков нет;12;;;;
25.07.2017 2:00;14.июл;725.0;;;70;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
25.07.2017 8:00;15.янв;718.0;;;85;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
25.07.2017 14:00;20.мар;716.0;;;37;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
25.07.2017 20:00;14.май;716.0;;;87;Ветер, дующий с юго-востока;3;;;70 – 80%.; ;;;;20.мар;;;;;;50.0;;Осадков нет;12;;;;
26.07.2017 2:00;13.мар;717.0;;;96;Ветер, дующий с юга;6;;;40%.; ;;;;;;;;;;;;;;;;;
26.07.2017 8:00;12.авг;717.0;;;97;Ветер, дующий с юго-востока;3;;;10%  или менее, но не 0;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;12.фев;;;;;;;50.0;;Осадков нет;12;;;;
26.07.2017 14:00;14.янв;717.0;;;91;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
26.07.2017 20:00;15.июл;717.0;;;84;Ветер, дующий с юго-запада;1;;;50%.; ;;;;15.июл;;;;;;50.0;;Осадков нет;12;;;;
27.07.2017 2:00;13.май;717.0;;;87;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
27.07.2017 8:00;16.янв;718.0;;;76;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;13.0;;;;;;;50.0;;Осадков нет;12;;;;
27.07.2017 14:00;18.июн;717.0;;;53;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
27.07.2017 20:00;17.июл;717.0;;;68;Ветер, дующий с северо-востока;3;;;70 – 80%.; ;;;;18.июн;;;;;;50.0;;Осадков нет;12;;;;
28.07.2017 2:00;17.авг;716.0;;;57;Ветер, дующий с юга;1;;;60%.;Гроза, но без осадков, в срок наблюдения. ;;;;;;;;;;;;;;;;;
28.07.2017 8:00;15.май;718.0;;;83;Ветер, дующий с юго-востока;2;;;40%.;Состояние неба в общем не изменилось. ;;;13.июн;;;;;;;50.0;;Осадков нет;12;;;;
28.07.2017 14:00;17.авг;718.0;;;78;Ветер, дующий с юго-востока;3;;;50%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;;;;;;;;;;50.0;;;;;;;
28.07.2017 20:00;17.июл;717.0;;;78;Ветер, дующий с северо-востока;3;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;17.авг;;;;;;50.0;;0.3;12;;;;
29.07.2017 2:00;15.мар;717.0;;;93;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
29.07.2017 8:00;17.фев;717.0;;;89;Ветер, дующий с севера;2;;;Облаков нет.; ;;;14.июн;;;;;;;50.0;;Осадков нет;12;;;;
29.07.2017 14:00;19.0;716.0;;;84;Ветер, дующий с юга;1;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
29.07.2017 20:00;21.июн;714.0;;;53;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;21.июн;;;;;;50.0;;Осадков нет;12;;;;
30.07.2017 2:00;18.июн;713.0;;;66;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;;;;;;;;;;;;;;;
30.07.2017 8:00;18.июн;712.0;;;77;Ветер, дующий с севера;5;;;10%  или менее, но не 0; ;;;17.май;;;;;;;50.0;;Осадков нет;12;;;;
30.07.2017 14:00;23.май;712.0;;;47;Ветер, дующий с северо-востока;5;;;40%.; ;;;;;;;;;;50.0;;;;;;;
30.07.2017 20:00;16.май;712.0;;;90;Ветер, дующий с юга;5;;;90  или более, но не 100%; ;;;;23.май;;;;;;50.0;;Осадков нет;12;;;;
31.07.2017 2:00;16.июл;713.0;;;87;Ветер, дующий с юга;6;;;90  или более, но не 100%;Гроза (с осадками или без них). ;;;;;;;;;;;;;;;;;
31.07.2017 8:00;15.мар;715.0;;;98;Ветер, дующий с юга;9;;;100%.;Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ;;;14.июл;;;;;;;10.0;;6.0;12;;;;
31.07.2017 14:00;15.май;715.0;;;91;Ветер, дующий с юго-востока;3;;;100%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;;;;;;
31.07.2017 20:00;17.мар;715.0;;;87;Ветер, дующий с востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;17.мар;;;;;;50.0;;2.0;12;;;;
01.08.2017 2:00;15.апр;717.0;;;99;Ветер, дующий с северо-востока;1;;;40%.;Состояние неба в общем не изменилось. ;;;;;;;;;;;;;;;;;
01.08.2017 8:00;14.мар;717.0;;;100;Ветер, дующий с севера;1;;;10%  или менее, но не 0;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;;;13.июн;;;;;;;10.0;;0.3;12;;;;
01.08.2017 14:00;16.фев;718.0;;;93;Ветер, дующий с северо-запада;1;;;20–30%.;Развитие облачности не наблюдалось или не наблюдается. ;;;;;;;;;;10.0;;;;;;;
01.08.2017 20:00;16.июл;718.0;;;94;Штиль, безветрие;0;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
02.08.2017 2:00;15.апр;717.0;;;98;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
02.08.2017 8:00;18.фев;717.0;;;84;Штиль, безветрие;0;;;Облаков нет.;Пыльная или песчаная буря в поле зрения в срок наблюдения или на станции в течение последнего часа. ;;;14.сен;;;;;;;20.0;;Осадков нет;12;;;;
02.08.2017 14:00;19.май;716.0;;;78;Ветер, дующий с севера;4;;;60%.; ;;;;;;;;;;50.0;;;;;;;
02.08.2017 20:00;19.авг;715.0;;;83;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;19.авг;;;;;;50.0;;Осадков нет;12;;;;
03.08.2017 2:00;16.июл;715.0;;;87;Ветер, дующий с востока;1;;;40%.; ;;;;;;;;;;;;;;;;;
03.08.2017 8:00;19.фев;716.0;;;79;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;16.0;;;;;;;50.0;;Осадков нет;12;;;;
03.08.2017 14:00;22.фев;715.0;;;61;Ветер, дующий с севера;4;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
03.08.2017 20:00;19.апр;715.0;;;91;Ветер, дующий с севера;3;;;70 – 80%.; ;;;;22.фев;;;;;;50.0;;Осадков нет;12;;;;
04.08.2017 2:00;17.фев;715.0;;;89;Ветер, дующий с севера;2;;;20–30%.; ;;;;;;;;;;;;;;;;;
04.08.2017 8:00;19.авг;716.0;;;77;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;16.янв;;;;;;;50.0;;Осадков нет;12;;;;
04.08.2017 14:00;21.0;715.0;;;70;Ветер, дующий с северо-востока;4;;;40%.; ;;;;;;;;;;50.0;;;;;;;
04.08.2017 20:00;22.мар;715.0;;;63;Ветер, дующий с севера;3;;;70 – 80%.; ;;;;22.мар;;;;;;50.0;;Осадков нет;12;;;;
05.08.2017 2:00;18.июн;716.0;;;85;Ветер, дующий с юго-востока;3;;;40%.; ;;;;;;;;;;;;;;;;;
05.08.2017 8:00;19.янв;717.0;;;84;Ветер, дующий с юго-востока;2;;;100%.; ;;;18.0;;;;;;;50.0;;Осадков нет;12;;;;
05.08.2017 14:00;21.фев;717.0;;;72;Ветер, дующий с юго-востока;2;;;100%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;;;;;;
05.08.2017 20:00;20.сен;716.0;;;85;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;21.мар;;;;;;50.0;;Осадков нет;12;;;;
06.08.2017 2:00;19.мар;716.0;;;92;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;;;;;;;;
06.08.2017 8:00;19.авг;717.0;;;80;Ветер, дующий с севера;2;;;70 – 80%.; ;;;18.фев;;;;;;;50.0;;Осадков нет;12;;;;
