Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
30.01.2017 20:00;-12.7;725.0;;;65;Ветер, дующий с северо-запада;4;;;10%  или менее, но не 0; ;;;;-12.7;;;;;;;;;;;;;
31.01.2017 2:00;-15.7;729.0;;;65;Ветер, дующий с северо-востока;5;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
31.01.2017 8:00;-19.4;731.0;;;65;Ветер, дующий с северо-запада;2;;;40%.; ;;;-19.5;;;;;;;50.0;;;;;;;
31.01.2017 14:00;-14.7;732.0;;;70;Ветер, дующий с юга;2;;;100%.; ;;;;;;;;;;50.0;;;;;;;
31.01.2017 20:00;-16.5;731.0;;;80;Ветер, дующий с северо-востока;1;;;100%.; ;;;;-14.6;;;;;;;;;;;;;
01.02.2017 2:00;-17.3;730.0;;;85;Ветер, дующий с востока;1;;;50%.; ;;;;;;;;;;;;;;;;;
01.02.2017 8:00;-15.5;730.0;;;85;;0;;;70 – 80%.; ;;;-18.0;;;;;;;50.0;;;;;;;
01.02.2017 14:00;-13.7;729.0;;;80;Ветер, дующий с севера;2;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
01.02.2017 20:00;-15.9;729.0;;;85;Ветер, дующий с севера;4;;;Облаков нет.; ;;;;-13.5;;;;;;;;;;;;;
02.02.2017 2:00;-17.2;727.0;;;85;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
02.02.2017 8:00;;727.0;;;;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-20.1;;;;;;;50.0;;;;;;;
02.02.2017 14:00;-13.7;727.0;;;70;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
02.02.2017 20:00;;726.0;;;;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;-13.7;;;;;;;;;;;;;
03.02.2017 2:00;-17.8;726.0;;;85;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
03.02.2017 8:00;-15.8;726.0;;;85;;0;;;100%.; ;;;-18.5;;;;;;;10.0;;0.2;;;;;
