poryadkovy_nomer;tip;razryad;ugms;imya_stancii;repernayavekovay;sinopticheski_in;obshhesoyuzny_no;obshhesoyuzny_no1;obshhesoyuzny_no2;shirota;dolgota;raznost_mezhdu_p;territorialny_ko;cgms;status_sete_klim;priznak_proveden;priznak_proveden1;status_sete_gidr;status_sete_mors;status_sete_agro;priznak_proveden2;priznak_proveden3;priznak_proveden4;priznak_proveden5;stanciya_zakonse;data_zakrytiya_s;id;is_deleted;classname;created_by;edited_by;edited_on;created_on;published;point;kontroliruemye_p;vidy_informacion;vidy_infyx_resur;nablyudaemye_pok;periodichnost_ot
5956;Пристанционный гидрологический пост;2;ФГБУ Иркутское УГМС;САРМА (ОГП ПРИ САРМА М);0;30620;5310691;;;53.10;106.83;5;138;Отсутствует;0;0;0;3;0;0;0;0;0;1;0;;569;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.186891;2021-02-26 17:11:02.186891+08;f;0104000020E610000001000000010100000085EB51B81EB55A40CDCCCCCCCC8C4A40;;;;;
4921;Гидрологический пост;1;ФГБУ Иркутское УГМС;МОРОЗОВА;0;;5312103311;;;53.20;103.51;5;138;Отсутствует;1;0;0;3;0;0;0;0;0;1;0;;570;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.204203;2021-02-26 17:11:02.204203+08;f;0104000020E6100000010000000101000000713D0AD7A3E059409A99999999994A40;;;;;
4643;Гидрологический пост;1;ФГБУ Забайкальское УГМС;ВЕРХНИЙ УЛЬХУН-р.Онон;1;;493311235;;;49.55;112.58;6;175;Отсутствует;1;0;0;2;0;0;0;0;0;1;0;;571;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.223988;2021-02-26 17:11:02.223988+08;f;0104000020E610000001000000010100000085EB51B81E255C406666666666C64840;;;;;
5947;Пристанционный гидрологический пост;1;ФГБУ Иркутское УГМС;КОБЛЯКОВО (ГП ПРИ КОБЛЯКОВО М);0;;;;;56.58;101.43;5;138;Отсутствует;0;0;0;2;0;0;0;0;0;1;0;;572;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.242682;2021-02-26 17:11:02.242682+08;f;0104000020E6100000010000000101000000EC51B81E855B59400AD7A3703D4A4C40;;;;;
4710;Гидрологический пост;1;ФГБУ Забайкальское УГМС;ХАМНЕЙСКИЙ МОСТ-р.Хамней;0;;502610346;;;50.43;103.77;5;104;Бурятский ЦГМС;1;0;0;3;0;0;0;0;0;0;0;;573;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.26348;2021-02-26 17:11:02.26348+08;f;0104000020E6100000010000000101000000E17A14AE47F15940D7A3703D0A374940;;;;;
4699;Пристанционный гидрологический пост;1;ФГБУ Забайкальское УГМС;УЛАН-УДЭ (ГП ПРИ УЛАН-УДЭ ОГМС)-р.Уда;1;;;;;51.83;107.63;5;104;Бурятский ЦГМС;0;0;0;2;0;0;0;0;0;1;0;;574;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.283698;2021-02-26 17:11:02.283698+08;f;0104000020E6100000010000000101000000B81E85EB51E85A400AD7A3703DEA4940;;;;;
8907;Центр по мониторингу загрязнения окружающей среды;3;ФГБУ Забайкальское УГМС;УЛАН-УДЭ;0;30823;;;;51.83;107.60;5;104;Бурятский ЦГМС;0;0;0;0;0;0;0;0;0;1;0;;575;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.299097;2021-02-26 17:11:02.299097+08;f;0104000020E61000000100000001010000006666666666E65A400AD7A3703DEA4940;;;;;
4742;Агрометеорологический пост;0;ФГБУ Забайкальское УГМС;УРЛУК;0;67203;500310753;;67203;50.05;107.88;6;175;Отсутствует;1;0;0;0;0;3;0;0;0;0;0;;576;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.319006;2021-02-26 17:11:02.319006+08;f;0104000020E6100000010000000101000000B81E85EB51F85A406666666666064940;;;;;
5014;Пост наблюдения за загрязнением природной среды;0;ФГБУ Иркутское УГМС;БРАТСК №7;0;;;;;56.28;101.75;5;138;Братский ЦГМС;0;0;0;0;0;0;0;0;0;1;0;;577;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.368749;2021-02-26 17:11:02.368749+08;f;0104000020E61000000100000001010000000000000000705940A4703D0AD7234C40;;;;;
4740;Озерный гидрометеорологический пост;1;ФГБУ Забайкальское УГМС;ГАРАМ-оз.Большое Еравное;1;;523511127;;;52.58;111.45;5;104;Бурятский ЦГМС;1;0;0;2;0;0;0;0;0;0;0;;578;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.393185;2021-02-26 17:11:02.393185+08;f;0104000020E6100000010000000101000000CDCCCCCCCCDC5B400AD7A3703D4A4A40;;;;;
5943;Пристанционный гидрологический пост;1;ФГБУ Иркутское УГМС;ИКА (ГП ПРИ ИКА М);0;;;;;59.28;106.17;5;138;Отсутствует;0;0;0;2;0;0;0;0;0;1;0;;579;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.413736;2021-02-26 17:11:02.413736+08;f;0104000020E61000000100000001010000007B14AE47E18A5A40A4703D0AD7A34D40;;;;;
6140;Гидрологический пост;1;ФГБУ Иркутское УГМС;МОНДЫ;0;;;;;51.68333333333333;100.98333333333333;5;104;Байкальский ЦГМС;0;0;0;3;0;0;0;0;0;1;0;;580;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.431247;2021-02-26 17:11:02.431247+08;f;0104000020E6100000010000000101000000EFEEEEEEEE3E59407777777777D74940;;;;;
